EmpID,FirstName,LastName,StartDate,ExitDate,Supervisor,ADEmail,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DOB,GenderCode,Performance Score,Current Employee Rating
3427,Uriah,Bridges,20-Sep-19,,Peter Oneill,uriah.bridges@bilearner.com,Active,Contract,Zone C,Temporary,7/10/1969,Female,Fully Meets,4
3428,Paula,Small,11-Feb-23,,Renee Mccormick,paula.small@bilearner.com,Active,Contract,Zone A,Part-Time,30-08-1965,Male,Fully Meets,3
3429,Edward,Buck,10-Dec-18,,Crystal Walker,edward.buck@bilearner.com,Active,Full-Time,Zone B,Part-Time,6/10/1991,Male,Fully Meets,4
3430,Michael,Riordan,21-Jun-21,,Rebekah Wright,michael.riordan@bilearner.com,Active,Contract,Zone A,Full-Time,4/4/1998,Male,Fully Meets,2
3431,Jasmine,Onque,29-Jun-19,,Jason Kim,jasmine.onque@bilearner.com,Active,Contract,Zone A,Temporary,29-08-1969,Female,Fully Meets,3
3432,Maruk,Fraval,17-Jan-20,,Sheri Campos,maruk.fraval@bilearner.com,Active,Contract,Zone B,Full-Time,3/4/1949,Male,Fully Meets,3
3433,Latia,Costa,6-Apr-22,3-Jul-23,Jacob Braun,latia.costa@bilearner.com,Active,Full-Time,Zone B,Temporary,1/7/1942,Female,Exceeds,4
3434,Sharlene,Terry,6-Nov-20,29-Jan-23,Tracy Marquez,sharlene.terry@bilearner.com,Active,Contract,Zone C,Full-Time,7/3/1957,Female,Fully Meets,2
3435,Jac,McKinzie,18-Aug-18,,Sharon Becker,jac.mckinzie@bilearner.com,Active,Contract,Zone B,Part-Time,15-05-1974,Male,Exceeds,3
3436,Joseph,Martins,21-Jan-22,29-Jun-23,George Jenkins,joseph.martins@bilearner.com,Active,Part-Time,Zone B,Temporary,11/11/1949,Male,Fully Meets,5
3437,Myriam,Givens,4-Aug-23,,Troy White,myriam.givens@bilearner.com,Active,Contract,Zone B,Temporary,26-01-1964,Female,Fully Meets,5
3438,Dheepa,Nguyen,10-Aug-18,4-Nov-19,Brian Miller,dheepa.nguyen@bilearner.com,Active,Full-Time,Zone C,Temporary,6/4/1948,Female,Fully Meets,3
3439,Bartholemew,Khemmich,25-May-22,27-Nov-22,Charles Parks,bartholemew.khemmich@bilearner.com,Active,Full-Time,Zone A,Temporary,24-11-1981,Male,Fully Meets,3
3440,Xana,Potts,5-Dec-19,17-Feb-23,Gregory Walker,xana.potts@bilearner.com,Active,Contract,Zone A,Full-Time,6/11/1951,Female,Fully Meets,3
3441,Prater,Jeremy,28-Apr-19,,Tyler Lewis,prater.jeremy@bilearner.com,Active,Part-Time,Zone A,Part-Time,21-11-1989,Male,Exceeds,4
3442,Kaylah,Moon,9-Jul-19,16-Jun-22,Ashley Scott,kaylah.moon@bilearner.com,Active,Full-Time,Zone A,Full-Time,24-11-1952,Male,Exceeds,2
3443,Kristen,Tate,5-Apr-21,12-May-23,Lauren Jones,kristen.tate@bilearner.com,Active,Full-Time,Zone C,Part-Time,8/4/1994,Male,Fully Meets,3
3444,Bobby,Rodgers,28-Nov-21,4-Feb-22,Matthew Jackson,bobby.rodgers@bilearner.com,Active,Contract,Zone A,Part-Time,15-11-1983,Male,Fully Meets,3
3445,Reid,Park,16-Jan-21,,Michelle Mitchell,reid.park@bilearner.com,Active,Contract,Zone C,Full-Time,7/12/1985,Female,Exceeds,4
3446,Hector,Dalton,24-Aug-21,,Sydney French,hector.dalton@bilearner.com,Active,Part-Time,Zone A,Part-Time,1/5/1996,Female,Exceeds,2
3447,Mariela,Schultz,26-May-20,18-Jun-23,Michelle Evans MD,mariela.schultz@bilearner.com,Future Start,Part-Time,Zone C,Part-Time,17-02-1964,Female,Fully Meets,3
